STORY,QUERY,TRACK,INDEX
"After school on Friday, Xiao Li and Xiao Qiang also plan to go to the library for review together. Xiao Qiang originally has a plan to watch a movie with friends, but he cancels it to accompany Xiao Li for review. When they get to the library, Xiao Li sees Xiao Qiang and says, ""Thank you for coming for me."" Xiao Qiang replies, ""It's okay, I think helping you is more important."" Xiao Fang continues to say, ""I hope the review is fruitful today."" The two start reviewing efficiently together.","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Thank you for coming for me. B. It\'s okay, I think helping you is more important. C. I hope the review is fruitful today. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What plan does Xiao Qiang cancel for Xiao Li?</QUESTION>
<OPTIONS>###OPTION: A. To watch a movie B. To play games C. To go to a party D. To read a book</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Li know that Xiao Qiang cancels other plans?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",206-207-208-209,65
"On Sunday night, Xiaoqiang's family gathers to discuss the future of the family business. Dad says, ""The future of our family business is very important, I always think about how we should choose the successor."" Mom nods in agreement. Dad looks at Xiaoqiang and continues, ""Xiaoqiang, you have a talent for art, you can develop in this area in the future."" Xiaoqiang replies, ""Actually, I am also very interested in the family business.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is not appropriate?</QUESTION>
<OPTIONS>###OPTION: A. The future of our family business is very important, I am always thinking about how we should choose a successor. B. Xiaoqiang, you have a talent for art, you can develop in this area in the future. C. Actually, I am also very interested in the family business. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What does Dad think Xiaoqiang should develop in?</QUESTION>
<OPTIONS>###OPTION: A. Running a business B. Art C. Sports D. Academics</OPTIONS>
<QUESTION>###QUESTION: Does Dad know that Xiaoqiang is interested in the family business?</QUESTION>
<OPTIONS>###OPTION: A. He knows B. He does not know</OPTIONS>",210-211-212-213,66
"On Friday afternoon, the manager shares his promotion news in the office, and Xiao Wang joins the celebration team. Xiao Liu expresses sincere congratulations on the manager's promotion. Xiao Liu says to Xiao Wang, ""Seeing our team's efforts get rewards really excites everyone."" Xiao Wang replies, ""That's right, this is an inspiration for all of us."" The manager says with emotion, ""Thank you for your support, unity is strength, let us create more miracles together.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Seeing our team's efforts get rewards really excites everyone. B. Yes, this motivates all of us. C. Thank you for everyone's support, unity is strength, let us create more miracles together. D. No one says what they should not say.</OPTIONS>
<QUESTION>###QUESTION: What does the office celebrate?</QUESTION>
<OPTIONS>###OPTION: A. Manager's birthday B. Manager's promotion C. Xiao Wang's promotion D. Xiao Liu's retirement</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Liu know that Xiao Wang does not get promoted?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",214-215-216-217,67
"On Monday morning, Xiao Li encounters Xiao Zhang in the office by chance. Xiao Zhang just gets promoted to department manager, Xiao Li does not see the announcement, casually asks: ""I hear the company is considering promotions recently, do you hear any rumors?"" Xiao Zhang replies: ""I am not very clear."" At this time, the manager comes over and says to Xiao Zhang: ""Congratulations, Xiao Zhang, your promotion is well-deserved."" After hearing this, the expression on Xiao Li's face subtly changes.","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. I hear the company is going to promote some people, who do you think the manager chooses? B. Hmm, I am not very clear. C. Congratulations, Xiao Zhang, your promotion is well-deserved. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What position does Xiao Zhang get promoted to?</QUESTION>
<OPTIONS>###OPTION: A. Department Assistant B. Department Manager C. Director D. Project Manager</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Li know that Xiao Zhang just gets promoted?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",218-219-220-221,68
"One night, Xiao Fang comes to her mother's house with her two-year-old son. At the dinner table, the mother talks about parenting philosophy, and the elder brother suddenly asks Xiao Fang, ""Do you also use mom's method to educate your child?"" Xiao Fang pauses slightly and answers lightly, ""Every child has their characteristics, I try to find a way that suits us."" The elder brother advises Xiao Li, ""You learn more from mom, so your child is definitely excellent in the future.""","<QUESTION>###QUESTION: Does anyone in this story say something inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Do you also use mom's method to educate your child? B. Every child has their characteristics, I try to find a way that suits us. C. You learn more from mom, this way your child is definitely excellent in the future. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: How old is Xiao Fang's child?</QUESTION>
<OPTIONS>###OPTION: A. One year old B. Two years old C. Three years old D. Four years old</OPTIONS>
<QUESTION>###QUESTION: Does the elder brother know that Xiao Fang's parenting method is different from their mother's?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",222-223-224-225,69
"On Saturday night, Xiao Fang takes her boyfriend to a family gathering. As soon as they enter the door, Xiao Fang's boyfriend says, ""I am very happy to be here."" Aunt Li says, ""I specially make a few of my best dishes, you eat more later."" At the dinner table, Xiao Fang's boyfriend only picks some dishes without coriander. Aunt Li notices and says, ""You try this coriander beef, this is my best dish."" Xiao Fang's boyfriend smiles and says, ""Thank you for your kindness, Auntie."", but he still does not pick up his chopsticks.","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story. B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. I specially make a few of my best dishes, you eat more later. B. You try this coriander tofu, this is my best dish. C. Thank you for your kindness, Auntie. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What food does Xiao Fang's boyfriend not eat?</QUESTION>
<OPTIONS>###OPTION: A. Coriander B. Cabbage C. Celery D. Leek</OPTIONS>
<QUESTION>###QUESTION: Does Aunt Li know that Xiao Fang's boyfriend does not eat coriander?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",226-227-228-229,70
"Xiao Li and Xiao Wei discuss the wedding date. Xiao Li says, ""We can choose June 15th or July 20th."" Xiao Wei thinks for a while and says, ""Perhaps July 20th is better."" Xiao Li thinks for a while and says softly, ""I respect your opinion."" Xiao Wei replies, ""Thank you for your understanding, I hope the weather is good that day.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Perhaps July 20th is better. B. I respect your opinion. C. Thank you for your understanding, I hope the weather is good that day. D. There is no inappropriate sentence.</OPTIONS>
<QUESTION>###QUESTION: Which two possible wedding dates does Xiao Li propose?</QUESTION>
<OPTIONS>###OPTION: A. May 15th and June 20th B. June 15th and July 20th C. July 15th and August 20th D. August 15th and September 20th</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Li remember the death anniversary of Xiao Wei's father?</QUESTION>
<OPTIONS>###OPTION: A. She remembers B. She does not remember</OPTIONS>",230-231-232-233,71
"Grandpa dies last month, and the family is worrying about Grandma's future. On Sunday afternoon, Xiao Red comes to Grandma's house, and Grandma is watching TV in the living room. Xiao Red happily says: ""Grandma, do you see the newly opened nursing home nearby? I hear the environment is good, but I hate to part with you."" Grandma smiles slightly, without giving an answer. Dad comes out of the kitchen, saying: ""We consider that option, but finally decide it is better for Grandma to live with us."" Xiao Red says to Grandma: ""That's great, I can often accompany you, trying my best to make you comfortable.""","<QUESTION>###QUESTION: Does Xiao Red know that Grandma does not want to go to the nursing home?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",234,72
"After Xiao Fang and Xiao Gang break up, Xiao Gang quickly gets a new girlfriend. One night, Xiao Fang talks about her current life, saying, ""Is there anything new recently?"" Xiao Gang replies, ""Hmm, I start to learn photography recently."" At this moment, Xiao Gang's current girlfriend comes over and joins the conversation. Xiao Fang politely greets, ""Hello, I am Xiao Fang.""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. What is new recently? B. Hmm, I start learning photography. C. Hello, I am Xiao Fang. D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What does Xiao Gang learn recently?</QUESTION>
<OPTIONS>###OPTION: A. Coffee B. Food C. Travel D. Photography</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Fang know that Xiao Gang has a girlfriend now?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",235-236-237-238,73
"On Christmas Eve, Xiao Li comes home from school, looking forward to celebrating Christmas with her family. She sees her mother preparing dinner in the kitchen, and her father wrapping gifts in the living room. Xiao Li says: ""Dad, Mom, can we exchange gifts and light up the Christmas tree tonight?"" Her father replies: ""Of course, Xiao Li. Celebrating Christmas is a fun experience."" The family decorates the Christmas tree together, preparing for the evening's celebration. Xiao Li says: ""This is so interesting!""","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Dad, Mom, can we exchange gifts and light up the Christmas tree tonight? B. Of course, Xiao Li. Celebrating Christmas is a fun attempt. C. This is interesting! D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: What festival does Xiao Li want to celebrate with her family?</QUESTION>
<OPTIONS>###OPTION: A. Spring Festival B. Christmas C. National Day D. Mid-Autumn Festival</OPTIONS>
<QUESTION>###QUESTION: Does the father know that Xiao Li wants to celebrate Christmas?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",239-240-241-242,74
"Xiao Jie has a minor surgery because of an ankle sprain, and he is recuperating in the hospital. His friends Xiao Fang and Xiao Mei come to visit him, hoping to bring him some happiness. They know Xiao Jie's situation in advance, so they are very careful. When they walk into the ward, Xiao Fang looks at Xiao Jie's elevated foot and says, ""These stories should make you happier."" Xiao Mei gives Xiao Jie some light comic books and says, ""We can chat, or we can just sit quietly, see what you like."" Then, they talk about the recent popular TV shows, and Xiao Jie also tries to participate.","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone says something inappropriate in the story B. No one says anything inappropriate in the story.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. These stories should make you happier. B. We can chat, or we can just sit quietly, see what you like. C. Thank you, I am much better now. D. No one says what they should not say.</OPTIONS>
<QUESTION>###QUESTION: What surgery does Xiao Jie have?</QUESTION>
<OPTIONS>###OPTION: A. Throat surgery B. Sprain surgery C. Eye surgery D. Oral surgery</OPTIONS>
<QUESTION>###QUESTION: Does Xiao Mei know that Xiao Jie has ankle surgery?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",243-244-245-246,75
"On the weekend, Xiaofang's family is planning a family gathering. Xiaofang excitedly says to her mother, ""Mom, we should go hiking, the scenery there is beautiful!"" The mother nods and says, ""Good idea, I also like hiking."" The father is looking at the seaside travel guide on the side, and only smiles slightly when he hears it. The mother says, ""Dad definitely also likes hiking, we decide to go hiking!"" On the day of the gathering, the whole family goes to the mountain, and the father occasionally looks at the distant sea.","<QUESTION>###QUESTION: Does anyone say something inappropriate in this story?</QUESTION>
<OPTIONS>###OPTION: A. Someone in the story says something inappropriate. B. No one in the story says anything inappropriate.</OPTIONS>
<QUESTION>###QUESTION: If there is, which sentence is inappropriate?</QUESTION>
<OPTIONS>###OPTION: A. Mom, we should go hiking, the scenery there is beautiful! B. Good idea, I also like hiking. C. Dad definitely also likes hiking, we decide to go hiking! D. There is no inappropriate sentence</OPTIONS>
<QUESTION>###QUESTION: Where does Xiaofang's family finally go?</QUESTION>
<OPTIONS>###OPTION: A. Seaside B. Hiking C. Park D. Amusement park</OPTIONS>
<QUESTION>###QUESTION: Does the mother know that the father wants to go to the seaside?</QUESTION>
<OPTIONS>###OPTION: A. Knows B. Does not know</OPTIONS>",247-248-249-250,76
